Error Goal: 0.001,max_subdivisions: 100000
,Type,Integral,Result,Error,Time,Subdivisions
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058759,0.000191,0.000147,3
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.184324,100055
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.997439,0.000775,1.078520,85574
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303932,0.000027,1.018669,438356

Simpson 3/8 Rule:
,simple,sin(x) from 0 to 1,0.459702,0.000004,0.000098,1
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000095,1
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000117,1
,simple,x^10000 from 0 to 1,0.062500,0.062400,0.000092,1
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.700575,0.033908,0.000219,16
,simple,x^-1 from 1 to 2,0.693195,0.000048,0.000079,1
,simple,e^x from 0 to 1,1.718298,0.000016,0.000092,1
,simple,x^1/2 from 0 to 1,0.659944,0.006722,0.000082,1
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317905,0.000003,0.000089,1
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.004292,0.004292,1.087953,177539
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.303545,0.008191,0.000117,1
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848771,0.000118,0.000087,1
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.495591,0.004395,0.000109,1
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000083,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.250000,0.250000,0.000082,1
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.500250,0.000250,0.000082,1
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.844641,0.000259,0.000454,60
,badly behaved,ln(x) from 0 to 1,-0.999656,0.000344,0.000151,8
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000081,1
,badly behaved,ln(1/x) from 0 to 1,0.999656,0.000344,0.000125,8
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.057905,0.000662,0.000101,1
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-1.611356,0.000492,0.000240,51
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.993545,0.004669,1.033702,105796
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.301752,0.002152,0.000210,9

Boole's Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.000119,1
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000106,1
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000091,1
,simple,x^10000 from 0 to 1,0.038889,0.038789,0.000082,1
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666667,0.000000,0.000098,1
,simple,x^-1 from 1 to 2,0.693148,0.000001,0.000078,1
,simple,e^x from 0 to 1,1.718282,0.000000,0.000080,1
,simple,x^1/2 from 0 to 1,0.663516,0.003151,0.000077,1
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317902,0.000000,0.000078,1
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,7.755305,0.244695,0.000078,1
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.307932,0.003804,0.000070,1
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848652,0.000001,0.000077,1
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.507461,0.007475,0.000077,1
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000086,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.155556,0.155556,0.000087,1
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.500156,0.000156,0.000095,1
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-21.019418,0.174518,0.000363,51
,badly behaved,ln(x) from 0 to 1,-1.139400,0.139400,0.000100,1
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000087,1
,badly behaved,ln(1/x) from 0 to 1,1.139400,0.139400,0.000092,1
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.057596,0.000971,0.000091,1
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-1.507362,0.103502,0.000087,1
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.995986,0.002228,1.046083,327862
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303799,0.000105,0.000211,6
